"id","name","code","description","school_id","created_at","updated_at"
"1","???","???","Class group: ???","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"2","Class 01","CLASS01","Class group: Class 01","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"3","Class 02","CLASS02","Class group: Class 02","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"4","Class 03","CLASS03","Class group: Class 03","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"5","Class 04","CLASS04","Class group: Class 04","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"6","Class 05","CLASS05","Class group: Class 05","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"7","Class 06","CLASS06","Class group: Class 06","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"8","Class 07","CLASS07","Class group: Class 07","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"9","Class 08","CLASS08","Class group: Class 08","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"10","Class 09","CLASS09","Class group: Class 09","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"11","Foundation Green","FOUNDATIONGREEN","Class group: Foundation Green","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"12","Foundation Red","FOUNDATIONRED","Class group: Foundation Red","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"13","Management","MANAGEMENT","Class group: Management","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"14","Mixed Class","MIXEDCLASS","Class group: Mixed Class","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"15","No Class","NOCLASS","Class group: No Class","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
"16","Office Staff","OFFICESTAFF","Class group: Office Staff","10","2026-03-15 02:06:03","2026-03-15 02:06:03"
