school_ref,name,code,description,status,created_at,updated_at
SCH001,Ashby Hastings Primary School,AHPS,Community-focused school with strong emphasis on foundational learning.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH002,Ashby Hill Top Primary School,AHTPS,Hilltop-based institution known for inclusive teaching practices.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH003,Ashby Willesley Primary School,AWPS,Well-rounded curriculum serving the Ashby Willesley area.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH004,Donisthorpe Primary School,DPS,Local village school with a vibrant community ethos.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH005,Fairfield Community Primary School,FCPS,Dedicated to community learning and civic engagement.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH006,Foxton Primary School,FPS,Small-scale school fostering creativity and nature-based learning.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH007,Glen Hills Primary School,GHPS,Well-regarded for STEM enrichment and outdoor education.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH008,Newcroft Primary Academy,NPA,Academy trust-led institution focusing on individualized growth.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH009,Old Mill Primary School,OMPS,Historic campus blending tradition with modern teaching.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH010,Orchard Community Primary School,OCPS,Known for orchard-themed outdoor learning and strong parental engagement.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH011,The Meadow Community Primary School,TMCPS,Meadow-based curriculum emphasizing environmental literacy.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
SCH012,Thornton Primary School,THPS,Thornton village school focusing on literacy and wellbeing.,active,2025-07-01 12:00:00,2025-07-01 12:00:00
